well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct,avg_hz_spacing_ft_unw,avg_vt_spacing_ft_unw
30025410040100,2629.0744748924017,20.09591092790164,4,1.0,2680.626631837414,19.361250000000382
30025421210000,2097.347255960379,38.97614205786772,3,1.0,2121.563654982079,39.14183333333373
30025426220000,2803.0713040587466,50.14848501699138,4,1.0,2827.9454390936503,50.30487499999958
30025428730000,3596.3818643429254,31.515963592180047,4,1.0,3624.7534663637316,30.80512500000009
30025435920100,5119.164800419162,25.63950000000023,1,0.5190000409156758,5119.164800419162,25.639500000000226
30025437350100,3475.0952823251405,36.26196229400323,2,1.0,3759.8045378746992,35.382500000000164
30025437530100,2443.1963294002317,42.4910318695277,6,1.0,2778.125837283594,42.44050000000001
30025437540100,3652.4446284972137,36.78089035628151,3,1.0,3637.4052842471233,36.6246666666666
30025440380100,3425.0784599968506,38.89684215866112,5,1.0,3621.1489497975112,38.67510000000075
30025449160000,1972.6986139454605,25.871985390675913,3,1.0,1919.0084836619153,29.071666666667017
30025451290000,3813.7706741312572,34.7679208666797,9,1.0,3799.388367558921,31.315444444444136
30025453730000,3031.611255421812,37.365539822170916,4,1.0,3025.6761914805847,37.307500000000346
30025453890000,3138.177420251478,68.01506687543345,2,1.0,3142.1411546190466,68.03750000000036
30025455300000,3103.6283974067146,20.948521422520674,8,1.0,3267.185967175009,20.708499999999958
30025456190000,2968.6525780959682,30.67493673913415,5,1.0,3116.207597038163,29.39860000000008
30025459330000,2839.98333382917,54.78516666666687,3,1.0,2839.98333382917,54.78516666666686
30025463300000,2489.8713509395425,43.94204049834124,4,1.0,2495.0834997376696,46.3412500000004
30025464820000,2842.715616097446,31.001419895466167,11,1.0,2956.637228023591,31.65359090909111
30025468380000,2571.418873794339,20.562053049881925,10,1.0,2903.7587487356527,24.634350000000087
30025474750100,2858.86675167492,9.846539378694255,6,1.0,2865.027813181603,9.846333333333405
30025487440000,2250.362417288261,15.999751022363013,5,1.0,2228.1422752288336,15.87129999999961
30025489820000,2967.1780846672327,23.5329389361182,10,1.0,3426.2165156871606,24.033800000000063
30025494170000,2670.7787311919324,28.79325904056711,11,1.0,3096.052472556502,35.833454545454515
30025494180000,2717.921573601504,24.97824670149861,8,1.0,3055.7458148304645,28.54631250000034
30025494190000,3070.561527553422,70.78459648652844,3,1.0,2888.1396360014387,71.02499999999993
30025494800000,2920.6137634911006,9.821510047729676,5,1.0,2936.4490121848003,9.749599999999555
30025494810100,3176.1358664386375,13.398433569532768,2,1.0,3177.5126575760405,13.387250000000222
30025497080000,2766.6099484903957,19.754680968633465,5,1.0,2808.009117083012,20.91949999999979
