uwi,lease_name,well_name,well_num,operator,rsv_cat,bench,first_prod_date,comp_date,hole_direction,surface_lat,surface_lon
42317421930000,DOROTHY FAYE K 319II,DOROTHY FAYE K 319II 1302HC,1302HC,OVV,01PDP,MSS,2019-08-01,2019-08-09,H,32.316741943359375,-102.15139770507812
42317423740000,UNIVERSITY LANDS 2631 W13,UNIVERSITY LANDS 2631 W13 16SB,16SB,FANG,01PDP,,2021-02-01,2021-02-11,H,32.366973876953125,-102.19789123535156
42317423140000,BIGTOOTH MAPLE,BIGTOOTH MAPLE 2HA,2HA,OXY,01PDP,WCA,2020-02-01,2020-02-29,H,32.3262825012207,-101.72168731689453
42317427440000,STRAIN RANCH 12-1-C,STRAIN RANCH 12-1-C 2806H,2806H,XOM,01PDP,LSS,2021-02-01,2021-01-21,H,32.25407791137695,-101.82128143310547
42317418710000,VLT KIMBER HUNTER UNIT,VLT KIMBER HUNTER UNIT 031WA,031WA,CVX,01PDP,WCA,2019-10-01,2019-10-01,H,32.15816116333008,-101.75335693359375
42317420690000,TITOS 31-42,TITOS 31-42 1WB,1WB,OVV,01PDP,WCB,2019-07-01,2019-07-31,H,32.46707534790039,-101.7617416381836
42317419360000,BLISSARD 20-29,BLISSARD 20-29 2047WA,2047WA,SM,01PDP,WCA,2020-01-01,2020-01-11,H,32.13867950439453,-101.74028015136719
42317419760000,MISCHIEVOUS BADGER UNIT 80-85,MISCHIEVOUS BADGER UNIT 80-85 1AH,1AH,Element,01PDP,WCA,2019-03-01,2019-03-24,H,32.460784912109375,-101.9257583618164
42317421520100,TOE NAIL E,TOE NAIL E 6HB,6HB,OXY,01PDP,WCB,2020-02-01,2020-02-05,H,32.11085510253906,-101.99931335449219
42317417530000,STRAIN RANCH 12-1-D,STRAIN RANCH 12-1-D 4407H,4407H,XOM,01PDP,WCB,2019-03-01,2019-03-19,H,32.25559997558594,-101.82047271728516
42317417480000,STRAIN RANCH 12-1-A,STRAIN RANCH 12-1-A 4201H,4201H,XOM,01PDP,WCA,2019-03-01,2019-03-26,H,32.25526428222656,-101.82268524169922
42317417910000,STRAIN 20 UNIT 2,STRAIN 20 UNIT 2 2047SH,2047SH,XOM,01PDP,LSS,2019-10-01,2019-09-26,H,32.267967224121094,-101.77892303466797
42317416000000,FORTRESS B3,FORTRESS B3 06SC,06SC,FANG,01PDP,LSS,2019-05-01,2019-05-07,H,32.351844787597656,-101.96891021728516
42317415940000,FORTRESS A2,FORTRESS A2 08SB,08SB,FANG,01PDP,LSS,2019-04-01,2019-04-22,H,32.35131072998047,-101.97148895263672
42317412520000,THELMA B,THELMA B 16SA,16SA,FANG,01PDP,LSS,2018-09-01,2018-09-17,H,32.324642181396484,-101.98838806152344
42317414380000,DOOLITTLE 4,DOOLITTLE 4 101,101,FANG,01PDP,LSS,2019-04-01,2019-04-26,H,32.227535247802734,-101.7483139038086
42317413280000,KATHRYN IDA UNIT,KATHRYN IDA UNIT 506H,506H,FANG,01PDP,LSS,2018-09-01,2018-09-05,H,32.39567947387695,-102.00824737548828
42317413470100,LENORAH 1-24,LENORAH 1-24 0624SH,0624SH,XOM,01PDP,LSS,2018-12-01,2018-12-12,H,32.2596435546875,-101.8006591796875
42317412700000,UNIVERSITY 7-28 PU,UNIVERSITY 7-28 PU 218H,218H,XOM,01PDP,LSS,2018-10-01,2018-10-12,H,32.403343200683594,-102.16353607177734
42317410670000,FRAZIER 44-5 UNIT 1,FRAZIER 44-5 UNIT 1 242,242,FANG,01PDP,WCB,2018-11-01,2018-11-02,H,32.440670013427734,-101.73379516601562
42317408810000,VINEYARD HZ B UNIT,VINEYARD HZ B UNIT 0601MS,0601MS,FANG,01PDP,MSS,2017-11-01,2017-11-03,H,32.52321243286133,-102.17854309082031
42317406460000,TIGER UNIT SN 245-252,TIGER UNIT SN 245-252 504H,504H,FANG,01PDP,LSS,2017-12-01,2017-12-20,H,32.391357421875,-101.97212982177734
42317403670000,UNIVERSITY 7-1627,UNIVERSITY 7-1627 S 16SS,S 16SS,FANG,01PDP,LSS,2016-06-01,2016-06-23,H,32.41160202026367,-102.19340515136719
42317407920000,STEUBEN,STEUBEN 202WB,202WB,FANG,01PDP,WCB,2017-07-01,2017-07-15,H,32.23801803588867,-101.73564147949219
42317403200200,SCHARBAUER RANCH,SCHARBAUER RANCH 2153H,2153H,XOM,01PDP,LSS,2016-07-01,2016-07-17,H,32.27658462524414,-102.10999298095703
42317409390000,FROMAN 8-5,FROMAN 8-5 111,111,FANG,01PDP,LSS,2018-02-01,2018-02-02,H,32.400054931640625,-101.71473693847656
42317409700000,PEELER C,PEELER C 14WA,14WA,FANG,01PDP,WCA,2018-03-01,2018-03-27,H,32.353878021240234,-101.9604263305664
42317403830000,GLASSCOCK 5B,GLASSCOCK 5B 2H,2H,XOM,01PDP,WCB,2018-04-01,2018-04-14,H,32.13291549682617,-101.96131896972656
42317405260000,UNIVERSITY 7-0213,UNIVERSITY 7-0213 N 05SC,N 05SC,FANG,01PDP,LSS,2017-02-01,2017-02-20,H,32.414363861083984,-102.1830062866211
42317400990000,JONES-HOLTON,JONES-HOLTON 213H,213H,FANG,01PDP,WCB,2016-05-01,2016-06-11,H,32.374691009521484,-102.00898742675781
42317394070000,CURTIS RANCH SOUTH,CURTIS RANCH SOUTH 3521H,3521H,OXY,01PDP,LSS,2015-01-01,2014-12-09,H,32.10991668701172,-102.10435485839844
42317400840000,JONES-HOLTON,JONES-HOLTON 106H,106H,FANG,01PDP,WCA,2016-04-01,2016-05-05,H,32.371726989746094,-102.02227783203125
42317400490000,MCMURRY-CRIM (PSA),MCMURRY-CRIM (PSA) 2HB,2HB,CIVI,01PDP,WCB,2015-06-01,2015-07-13,H,32.20746612548828,-101.77555084228516
42317393960000,GLASS RANCH A,GLASS RANCH A 405H,405H,XOM,01PDP,WCD,2015-02-01,2015-03-07,H,32.17451477050781,-102.0663833618164
42317423550000,UNIVERSITY LANDS 2631 W4,UNIVERSITY LANDS 2631 W4 09LM,09LM,FANG,01PDP,JM,2021-01-01,2021-01-19,H,32.36797332763672,-102.19352722167969
42317425680000,BLAGRAVE N 31-43,BLAGRAVE N 31-43 4414H,4414H,XOM,01PDP,WCB,2020-05-01,2020-05-14,H,32.46663284301758,-101.75334167480469
42317423410000,UNIVERSITY LANDS 1125 E5,UNIVERSITY LANDS 1125 E5 04SA,04SA,FANG,01PDP,LSS,2020-05-01,2020-05-12,H,32.387367248535156,-102.20777130126953
42317427500000,MABEE 318S,MABEE 318S 4HE,4HE,OVV,01PDP,LSS,2020-05-01,2020-05-19,H,32.3628044128418,-102.1435546875
42317424070000,ZEUS 7-6 UNIT 1,ZEUS 7-6 UNIT 1 231,231,FANG,01PDP,WCA,2020-01-01,2020-01-30,H,32.39752960205078,-101.73468017578125
42317420190000,TOE NAIL G,TOE NAIL G 15JM,15JM,OXY,01PDP,JM,2020-04-01,2020-02-07,H,32.11106491088867,-101.99549865722656
42317416210000,SCHARBAUER RANCH H,SCHARBAUER RANCH H 5901H,5901H,XOM,01PDP,WCB,2019-09-01,2019-09-17,H,32.25743865966797,-102.07567596435547
42317418600000,AMOCO-HOLT WC,AMOCO-HOLT WC 23LA,23LA,FANG,01PDP,WCA,2019-08-01,2019-08-15,H,32.423126220703125,-102.11176300048828
42317419000000,KATHRYN IDA A,KATHRYN IDA A 504H,504H,FANG,01PDP,LSS,2019-06-01,2019-06-28,H,32.39399337768555,-102.01590728759766
42317421590000,UNIVERSITY LANDS 0312 W1,UNIVERSITY LANDS 0312 W1 10SC,10SC,FANG,01PDP,LSS,2020-02-01,2020-02-13,H,32.41038513183594,-102.2073974609375
42317416720000,DUPREE A,DUPREE A 15DN,15DN,FANG,01PDP,Dean,2019-06-01,2019-06-29,H,32.35151672363281,-101.962158203125
42317415310000,JOHNSON TED,JOHNSON TED 201H,201H,COP,01PDP,WCA,2019-09-01,2019-09-06,H,32.181583404541016,-102.14039611816406
42317415320000,JOHNSON TED,JOHNSON TED 202H,202H,COP,01PDP,LSS,2019-07-01,2019-07-16,H,32.181602478027344,-102.14030456542969
42317412040000,WOODWARD A,WOODWARD A 01WA,01WA,FANG,01PDP,WCA,2018-06-01,2018-06-29,H,32.334678649902344,-101.9767837524414
42317412720000,UNIVERSITY LANDS COMANCHE 42A,UNIVERSITY LANDS COMANCHE 42A 1,1,FANG,01PDP,WCA,2018-07-01,2018-07-18,H,32.47707748413086,-102.1837158203125
42317414460000,MABEE BREEDLOVE,MABEE BREEDLOVE 2302LS,2302LS,FANG,01PDP,LSS,2019-01-01,2019-01-04,H,32.440250396728516,-102.13426208496094
42317403490000,SCHENECKER 1813 B,SCHENECKER 1813 B 3H,3H,COP,01PDP,WCB,2016-06-01,2016-06-25,H,32.165958404541016,-102.04175567626953
42317405760000,HALL 37-0405 AL 3,HALL 37-0405 AL 3 S 02BU,S 02BU,FANG,01PDP,WCB,2017-03-01,2017-03-15,H,32.354984283447266,-101.94750213623047
42317407000000,COLE 36-2406 AL 12,COLE 36-2406 AL 12 N 12SC,N 12SC,FANG,01PDP,LSS,2017-09-01,2017-09-15,H,32.37162399291992,-101.94798278808594
42317403250000,SCHARBAUER RANCH,SCHARBAUER RANCH 3202H,3202H,XOM,01PDP,LSS,2016-07-01,2016-08-07,H,32.27385711669922,-102.11597442626953
42317404680000,CAMPBELL WEST SN 134-321 03,CAMPBELL WEST SN 134-321 03 203H,203H,FANG,01PDP,WCB,2017-04-01,2017-07-29,H,32.31855773925781,-102.07123565673828
42317406320000,HOLT RANCH 320P,HOLT RANCH 320P 5HE,5HE,OVV,01PDP,LSS,2017-07-01,2017-07-14,H,32.337501525878906,-102.09481811523438
42317408440000,T Y RANCH,T Y RANCH 61N,61N,FANG,01PDP,WCA,2017-12-01,2018-01-04,H,32.388668060302734,-101.99037170410156
42317409790000,PEELER C,PEELER C 14DN,14DN,FANG,01PDP,Dean,2018-04-01,2018-04-07,H,32.3536491394043,-101.9617919921875
42317408780000,ACT G,ACT G 01SC,01SC,FANG,01PDP,LSS,2018-01-01,2018-01-15,H,32.35687255859375,-101.94810485839844
42317402160000,SALE RANCH 14B,SALE RANCH 14B 2H,2H,XOM,01PDP,WCB,2016-03-01,2016-03-16,H,32.2270622253418,-101.92736053466797
42317397250000,CAMPBELL,CAMPBELL 101H,101H,FANG,01PDP,WCA,2015-03-01,2015-03-16,H,32.34932327270508,-102.03532409667969
42317396920000,HOLT RANCH (ALLOCATION),HOLT RANCH (ALLOCATION) 101H,101H,OVV,01PDP,WCB,2015-03-01,2015-03-23,H,32.37779998779297,-102.09532928466797
42317425850000,HSC 320I,HSC 320I 1305HF,1305HF,OVV,01PDP,LSS,2020-02-01,2020-02-25,H,32.32683563232422,-102.10582733154297
42317423380000,UNIVERSITY LANDS 1125 E2,UNIVERSITY LANDS 1125 E2 03SB,03SB,FANG,01PDP,LSS,2020-05-01,2020-05-13,H,32.387420654296875,-102.2075424194336
42317422030000,DOROTHY FAYE K 319L,DOROTHY FAYE K 319L 812HC,812HC,OVV,01PDP,MSS,2019-08-01,2019-08-12,H,32.31901550292969,-102.14698791503906
42317424520000,MOTT 13,MOTT 13 303,303,FANG,01PDP,WCA,2020-12-01,2020-12-19,H,32.1111946105957,-101.810302734375
42317425430000,BRICK FOLEY C,BRICK FOLEY C 1546WA,1546WA,SM,01PDP,WCA,2020-09-01,2020-09-15,H,32.15841293334961,-101.71827697753906
