well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
30025494180000,5,5,5,1.0,0.0,359.5833769152585,2232164.4746826473,12047781.327983644
30025494190000,3,3,3,1.0,0.0,358.9836566562299,2229258.570640452,12079488.341203712
30025494800000,4,3,3,0.75,-1.0,178.09683701824096,2227477.782899416,12049135.304152649
30025494810100,2,2,2,1.0,0.0,359.06366609117504,2224819.377086616,12049076.95842084
30025497080000,4,4,4,1.0,0.0,175.72070882331033,2224843.933440874,12043818.750121305
30025497750000,2,2,2,1.0,0.0,181.81218107206186,2224942.9769098815,12054339.464029957
30025500770000,1,1,1,1.0,0.0,358.6689474593514,2208888.1975235976,12047520.631064117
30025500780100,1,1,1,1.0,0.0,178.7674535193977,2209045.8254516535,12039619.497080766
30025503690000,3,3,3,1.0,0.0,359.177328285319,2232192.3253287626,12033290.279538494
30025507270000,4,4,4,1.0,0.0,359.1107947463507,2228779.6253462117,12037194.191140462
30025507280000,4,4,4,1.0,0.0,359.3360941571901,2227957.8291310566,12037212.748171842
